Player,Points,GP,MIN,PTS
Giannis Antetokounmpo,MIL,5,37.6,33.0
Luka Dončić,LAL,5,41.6,30.2
Shai Gilgeous-Alexander,OKC,16,36.5,29.8
Donovan Mitchell,CLE,9,32.0,29.6
Jalen Brunson,NYK,18,37.8,29.4
Paolo Banchero,ORL,5,39.4,29.4
Jayson Tatum,BOS,8,40.3,28.1
Nikola Jokić,DEN,14,40.2,26.2
Franz Wagner,ORL,5,39.0,25.8
LeBron James,LAL,5,40.8,25.4
Anthony Edwards,MIN,15,39.0,25.3
Cade Cunningham,DET,6,41.3,25.0
Kawhi Leonard,LAC,7,37.9,25.0
Jaylen Brown,BOS,11,36.5,22.1
Jamal Murray,DEN,14,41.3,21.8
Julius Randle,MIN,15,35.5,21.7
Karl-Anthony Towns,NYK,18,35.5,21.4
Pascal Siakam,IND,16,33.6,21.1
Alperen Sengun,HOU,7,36.6,20.9
Jalen Williams,OKC,16,34.6,20.4
Jimmy Butler III,GSW,11,36.1,19.2
Derrick White,BOS,11,37.7,18.8
Tyrese Haliburton,IND,16,35.1,18.8
Gary Trent Jr.,MIL,5,34.2,18.8
Fred VanVleet,HOU,7,40.0,18.7
James Harden,LAC,7,39.4,18.7
Ja Morant,MEM,3,27.3,18.3
Scotty Pippen Jr.,MEM,4,32.3,18.3
Tyler Herro,MIA,4,36.0,17.8
Bam Adebayo,MIA,4,38.3,17.5
Ivica Zubac,LAC,7,36.6,17.4
Evan Mobley,CLE,8,32.1,17.1
Chet Holmgren,OKC,16,29.6,16.4
OG Anunoby,NYK,18,39.2,16.3
Aaron Gordon,DEN,14,37.3,16.2
Austin Reaves,LAL,5,39.2,16.2
Jaren Jackson Jr.,MEM,4,34.3,16.0
Norman Powell,LAC,7,34.0,16.0
Amen Thompson,HOU,7,33.0,15.7
Tobias Harris,DET,6,38.8,15.7
Mikal Bridges,NYK,18,39.2,15.6
Desmond Bane,MEM,4,34.8,15.3
Myles Turner,IND,16,30.3,15.2
Davion Mitchell,MIA,4,35.5,15.0
Rui Hachimura,LAL,5,36.4,14.8
Jaden McDaniels,MIN,15,33.1,14.7
Aaron Nesmith,IND,16,28.8,14.1
Bobby Portis,MIL,5,31.6,14.0
Malik Beasley,DET,6,27.2,14.0
Jarrett Allen,CLE,9,29.0,13.4
